C:1, 0,0, D:East, S:\
C:158, 47,29, D:West, S:.
C:159, 47,28, D:West, S:.
C:160, 47,27, D:West, S:.
C:161, 47,26, D:West, S:.
C:162, 47,25, D:West, S:.
C:163, 47,24, D:West, S:/
C:164, 48,24, D:South, S:.
C:165, 49,24, D:South, S:.
C:166, 50,24, D:South, S:.
C:167, 51,24, D:South, S:.
C:168, 52,24, D:South, S:.
C:169, 53,24, D:South, S:.
C:170, 54,24, D:South, S:.
C:171, 55,24, D:South, S:.
C:172, 56,24, D:South, S:.
C:173, 57,24, D:South, S:.
C:174, 58,24, D:South, S:.
C:175, 59,24, D:South, S:.
C:176, 60,24, D:South, S:.
C:177, 61,24, D:South, S:-
C:178, 61,23, D:West, S:.
C:179, 61,22, D:West, S:.
C:180, 61,21, D:West, S:.
C:181, 61,20, D:West, S:.
C:182, 61,19, D:West, S:.
C:183, 61,18, D:West, S:.
C:184, 61,17, D:West, S:|
C:185, 60,17, D:North, S:.
C:186, 59,17, D:North, S:.
C:187, 58,17, D:North, S:.
C:188, 57,17, D:North, S:.
C:189, 56,17, D:North, S:.
C:190, 55,17, D:North, S:.
C:191, 54,17, D:North, S:.
C:192, 53,17, D:North, S:.
C:193, 52,17, D:North, S:.
C:194, 51,17, D:North, S:.
C:195, 50,17, D:North, S:.
C:196, 49,17, D:North, S:.
C:197, 48,17, D:North, S:.
C:198, 47,17, D:North, S:.
C:199, 46,17, D:North, S:.
C:200, 45,17, D:North, S:|
C:201, 44,17, D:North, S:.
C:202, 43,17, D:North, S:.
C:203, 42,17, D:North, S:.
C:204, 41,17, D:North, S:.
C:205, 40,17, D:North, S:.
C:206, 39,17, D:North, S:.
C:207, 38,17, D:North, S:.
C:208, 37,17, D:North, S:.
C:209, 36,17, D:North, S:.
C:210, 35,17, D:North, S:.
C:211, 34,17, D:North, S:.
C:212, 33,17, D:North, S:.
C:213, 32,17, D:North, S:.
C:214, 31,17, D:North, S:.
C:215, 30,17, D:North, S:.
C:216, 29,17, D:North, S:.
C:217, 28,17, D:North, S:.
C:218, 27,17, D:North, S:.
C:219, 26,17, D:North, S:.
C:220, 25,17, D:North, S:.
C:221, 24,17, D:North, S:.
C:222, 23,17, D:North, S:.
C:223, 22,17, D:North, S:\
C:224, 22,16, D:West, S:.
C:225, 22,15, D:West, S:.
C:226, 22,14, D:West, S:.
C:227, 22,13, D:West, S:.
C:228, 22,12, D:West, S:-
C:229, 22,11, D:West, S:.
C:230, 22,10, D:West, S:.
C:231, 22,9, D:West, S:.
C:232, 22,8, D:West, S:.
C:233, 22,7, D:West, S:.
C:234, 22,6, D:West, S:.
C:235, 22,5, D:West, S:.
C:236, 22,4, D:West, S:.
C:237, 22,3, D:West, S:.
C:238, 22,2, D:West, S:.
C:239, 22,1, D:West, S:.
C:240, 22,0, D:West, S:.
C:240, 22,-1, D:West -> End.
C:241, 62,17, D:South, S:.
C:242, 63,17, D:South, S:.
C:243, 64,17, D:South, S:.
C:244, 65,17, D:South, S:.
C:245, 66,17, D:South, S:|
C:246, 67,17, D:South, S:.
C:247, 68,17, D:South, S:.
C:248, 69,17, D:South, S:.
C:249, 70,17, D:South, S:.
C:250, 71,17, D:South, S:.
C:251, 72,17, D:South, S:.
C:252, 73,17, D:South, S:.
C:253, 74,17, D:South, S:.
C:254, 75,17, D:South, S:.
C:255, 76,17, D:South, S:.
C:256, 77,17, D:South, S:.
C:257, 78,17, D:South, S:.
C:258, 79,17, D:South, S:.
C:259, 80,17, D:South, S:.
C:260, 81,17, D:South, S:.
C:261, 82,17, D:South, S:.
C:262, 83,17, D:South, S:.
C:263, 84,17, D:South, S:.
C:264, 85,17, D:South, S:.
C:265, 86,17, D:South, S:.
C:266, 87,17, D:South, S:.
C:267, 88,17, D:South, S:.
C:268, 89,17, D:South, S:.
C:269, 90,17, D:South, S:\
C:270, 90,18, D:East, S:.
C:271, 90,19, D:East, S:.
C:272, 90,20, D:East, S:.
C:273, 90,21, D:East, S:.
C:274, 90,22, D:East, S:.
C:275, 90,23, D:East, S:.
C:276, 90,24, D:East, S:.
C:277, 90,25, D:East, S:.
C:278, 90,26, D:East, S:.
C:279, 90,27, D:East, S:.
C:280, 90,28, D:East, S:.
C:281, 90,29, D:East, S:.
C:282, 90,30, D:East, S:.
C:283, 90,31, D:East, S:.
C:284, 90,32, D:East, S:.
C:285, 90,33, D:East, S:.
C:286, 90,34, D:East, S:.
C:287, 90,35, D:East, S:.
C:288, 90,36, D:East, S:.
C:289, 90,37, D:East, S:.
C:290, 90,38, D:East, S:.
C:291, 90,39, D:East, S:.
C:292, 90,40, D:East, S:.
C:293, 90,41, D:East, S:.
C:294, 90,42, D:East, S:.
C:295, 90,43, D:East, S:.
C:296, 90,44, D:East, S:.
C:297, 90,45, D:East, S:.
C:298, 90,46, D:East, S:.
C:299, 90,47, D:East, S:.
C:300, 90,48, D:East, S:.
C:301, 90,49, D:East, S:.
C:302, 90,50, D:East, S:.
C:303, 90,51, D:East, S:.
C:304, 90,52, D:East, S:.
C:305, 90,53, D:East, S:.
C:306, 90,54, D:East, S:.
C:307, 90,55, D:East, S:.
C:308, 90,56, D:East, S:.
C:309, 90,57, D:East, S:|
C:310, 89,57, D:North, S:.
C:311, 88,57, D:North, S:.
C:312, 87,57, D:North, S:.
C:313, 86,57, D:North, S:.
C:314, 85,57, D:North, S:.
C:315, 84,57, D:North, S:.
C:316, 83,57, D:North, S:.
C:317, 82,57, D:North, S:.
C:318, 81,57, D:North, S:.
C:319, 80,57, D:North, S:.
C:320, 79,57, D:North, S:.
C:321, 78,57, D:North, S:.
C:322, 77,57, D:North, S:.
C:323, 76,57, D:North, S:.
C:324, 75,57, D:North, S:.
C:325, 74,57, D:North, S:.
C:326, 73,57, D:North, S:.
C:327, 72,57, D:North, S:.
C:328, 71,57, D:North, S:.
C:329, 70,57, D:North, S:.
C:330, 69,57, D:North, S:.
C:331, 68,57, D:North, S:/
C:332, 68,58, D:East, S:.
C:333, 68,59, D:East, S:/
C:334, 67,59, D:North, S:.
C:335, 66,59, D:North, S:.
C:336, 65,59, D:North, S:.
C:337, 64,59, D:North, S:.
C:338, 63,59, D:North, S:.
C:339, 62,59, D:North, S:.
C:340, 61,59, D:North, S:.
C:341, 60,59, D:North, S:.
C:342, 59,59, D:North, S:.
C:343, 58,59, D:North, S:.
C:344, 57,59, D:North, S:.
C:345, 56,59, D:North, S:.
C:346, 55,59, D:North, S:.
C:347, 54,59, D:North, S:.
C:348, 53,59, D:North, S:.
C:349, 52,59, D:North, S:.
C:350, 51,59, D:North, S:.
C:351, 50,59, D:North, S:.
C:352, 49,59, D:North, S:.
C:353, 48,59, D:North, S:.
C:354, 47,59, D:North, S:.
C:355, 46,59, D:North, S:.
C:356, 45,59, D:North, S:.
C:357, 44,59, D:North, S:.
C:358, 43,59, D:North, S:.
C:359, 42,59, D:North, S:.
C:360, 41,59, D:North, S:.
C:361, 40,59, D:North, S:.
C:362, 39,59, D:North, S:.
C:363, 38,59, D:North, S:.
C:364, 37,59, D:North, S:.
C:365, 36,59, D:North, S:.
C:366, 35,59, D:North, S:.
C:367, 34,59, D:North, S:.
C:368, 33,59, D:North, S:.
C:369, 32,59, D:North, S:-
C:370, 32,58, D:West, S:.
C:371, 32,57, D:West, S:.
C:372, 32,56, D:West, S:.
C:373, 32,55, D:West, S:.
C:374, 32,54, D:West, S:.
C:375, 32,53, D:West, S:.
C:376, 32,52, D:West, S:.
C:377, 32,51, D:West, S:.
C:378, 32,50, D:West, S:.
C:379, 32,49, D:West, S:.
C:380, 32,48, D:West, S:.
C:381, 32,47, D:West, S:.
C:382, 32,46, D:West, S:.
C:383, 32,45, D:West, S:.
C:384, 32,44, D:West, S:.
C:385, 32,43, D:West, S:.
C:386, 32,42, D:West, S:.
C:387, 32,41, D:West, S:.
C:388, 32,40, D:West, S:-
C:389, 32,39, D:West, S:|
C:390, 31,39, D:North, S:.
C:391, 30,39, D:North, S:.
C:392, 29,39, D:North, S:.
C:393, 28,39, D:North, S:.
C:394, 27,39, D:North, S:.
C:395, 26,39, D:North, S:.
C:396, 25,39, D:North, S:.
C:397, 24,39, D:North, S:.
C:398, 23,39, D:North, S:.
C:399, 22,39, D:North, S:.
C:400, 21,39, D:North, S:.
C:401, 20,39, D:North, S:\
C:402, 20,38, D:West, S:.
C:403, 20,37, D:West, S:.
C:404, 20,36, D:West, S:.
C:405, 20,35, D:West, S:.
C:406, 20,34, D:West, S:-
C:407, 20,33, D:West, S:.
C:408, 20,32, D:West, S:.
C:409, 20,31, D:West, S:.
C:410, 20,30, D:West, S:.
C:411, 20,29, D:West, S:.
C:412, 20,28, D:West, S:.
C:413, 20,27, D:West, S:.
C:414, 20,26, D:West, S:.
C:415, 20,25, D:West, S:.
C:416, 20,24, D:West, S:|
C:417, 19,24, D:North, S:.
C:418, 18,24, D:North, S:.
C:419, 17,24, D:North, S:.
C:420, 16,24, D:North, S:.
C:421, 15,24, D:North, S:.
C:422, 14,24, D:North, S:.
C:423, 13,24, D:North, S:.
C:424, 12,24, D:North, S:.
C:425, 11,24, D:North, S:\
C:426, 11,23, D:West, S:.
C:427, 11,22, D:West, S:.
C:428, 11,21, D:West, S:|
C:429, 10,21, D:North, S:.
C:430, 9,21, D:North, S:.
C:431, 8,21, D:North, S:.
C:432, 7,21, D:North, S:.
C:433, 6,21, D:North, S:.
C:434, 5,21, D:North, S:.
C:435, 4,21, D:North, S:.
C:436, 3,21, D:North, S:\
C:437, 3,20, D:West, S:.
C:438, 3,19, D:West, S:|
C:439, 2,19, D:North, S:.
C:440, 1,19, D:North, S:|
C:441, 0,19, D:North, S:.
C:441, -1,19, D:North -> End.
C:442, 4,19, D:South, S:.
C:443, 5,19, D:South, S:.
C:444, 6,19, D:South, S:.
C:445, 7,19, D:South, S:.
C:446, 8,19, D:South, S:.
C:447, 9,19, D:South, S:.
C:448, 10,19, D:South, S:.
C:449, 11,19, D:South, S:.
C:450, 12,19, D:South, S:.
C:451, 13,19, D:South, S:.
C:452, 14,19, D:South, S:.
C:453, 15,19, D:South, S:.
C:454, 16,19, D:South, S:.
C:455, 17,19, D:South, S:.
C:456, 18,19, D:South, S:.
C:457, 19,19, D:South, S:/
C:458, 19,18, D:West, S:.
C:459, 19,17, D:West, S:.
C:460, 19,16, D:West, S:.
C:461, 19,15, D:West, S:.
C:462, 19,14, D:West, S:.
C:463, 19,13, D:West, S:.
C:464, 19,12, D:West, S:.
C:465, 19,11, D:West, S:.
C:466, 19,10, D:West, S:.
C:467, 19,9, D:West, S:.
C:468, 19,8, D:West, S:.
C:469, 19,7, D:West, S:.
C:470, 19,6, D:West, S:.
C:471, 19,5, D:West, S:.
C:472, 19,4, D:West, S:.
C:473, 19,3, D:West, S:.
C:474, 19,2, D:West, S:.
C:475, 19,1, D:West, S:.
C:476, 19,0, D:West, S:.
C:476, 19,-1, D:West -> End.
C:477, 12,21, D:South, S:.
C:478, 13,21, D:South, S:.
C:479, 14,21, D:South, S:.
C:480, 15,21, D:South, S:.
C:481, 16,21, D:South, S:.
C:482, 17,21, D:South, S:.
C:483, 18,21, D:South, S:.
C:484, 19,21, D:South, S:.
C:485, 20,21, D:South, S:.
C:486, 21,21, D:South, S:.
C:487, 22,21, D:South, S:.
C:488, 23,21, D:South, S:.
C:489, 24,21, D:South, S:.
C:490, 25,21, D:South, S:.
C:491, 26,21, D:South, S:.
C:492, 27,21, D:South, S:/
C:493, 27,20, D:West, S:.
C:494, 27,19, D:West, S:.
C:495, 27,18, D:West, S:-
C:496, 27,17, D:West, S:.
C:497, 27,16, D:West, S:.
C:498, 27,15, D:West, S:.
C:499, 27,14, D:West, S:.
C:500, 27,13, D:West, S:.
C:501, 27,12, D:West, S:.
C:502, 27,11, D:West, S:.
C:503, 27,10, D:West, S:.
C:504, 27,9, D:West, S:/
C:505, 28,9, D:South, S:.
C:506, 29,9, D:South, S:.
C:507, 30,9, D:South, S:.
C:508, 31,9, D:South, S:.
C:509, 32,9, D:South, S:.
C:510, 33,9, D:South, S:.
C:511, 34,9, D:South, S:.
C:512, 35,9, D:South, S:.
C:513, 36,9, D:South, S:|
C:514, 37,9, D:South, S:.
C:515, 38,9, D:South, S:.
C:516, 39,9, D:South, S:.
C:517, 40,9, D:South, S:.
C:518, 41,9, D:South, S:|
C:519, 42,9, D:South, S:.
C:520, 43,9, D:South, S:.
C:521, 44,9, D:South, S:.
C:522, 45,9, D:South, S:.
C:523, 46,9, D:South, S:.
C:524, 47,9, D:South, S:.
C:525, 48,9, D:South, S:.
C:526, 49,9, D:South, S:.
C:527, 50,9, D:South, S:.
C:528, 51,9, D:South, S:.
C:529, 52,9, D:South, S:.
C:530, 53,9, D:South, S:.
C:531, 54,9, D:South, S:.
C:532, 55,9, D:South, S:/
C:533, 55,8, D:West, S:.
C:534, 55,7, D:West, S:.
C:535, 55,6, D:West, S:.
C:536, 55,5, D:West, S:.
C:537, 55,4, D:West, S:-
C:538, 55,3, D:West, S:.
C:539, 55,2, D:West, S:.
C:540, 55,1, D:West, S:.
C:541, 55,0, D:West, S:.
C:541, 55,-1, D:West -> End.
C:542, 21,24, D:South, S:.
C:543, 22,24, D:South, S:.
C:544, 23,24, D:South, S:.
C:545, 24,24, D:South, S:.
C:546, 25,24, D:South, S:.
C:547, 26,24, D:South, S:.
C:548, 27,24, D:South, S:.
C:549, 28,24, D:South, S:.
C:550, 29,24, D:South, S:.
C:551, 30,24, D:South, S:.
C:552, 31,24, D:South, S:.
C:553, 32,24, D:South, S:.
C:554, 33,24, D:South, S:.
C:555, 34,24, D:South, S:.
C:556, 35,24, D:South, S:.
C:557, 36,24, D:South, S:.
C:558, 37,24, D:South, S:-
C:559, 37,23, D:West, S:.
C:560, 37,22, D:West, S:.
C:561, 37,21, D:West, S:.
C:562, 37,20, D:West, S:.
C:563, 37,19, D:West, S:.
C:564, 37,18, D:West, S:.
C:565, 37,17, D:West, S:.
C:566, 37,16, D:West, S:|
C:567, 36,16, D:North, S:.
C:568, 35,16, D:North, S:.
C:569, 34,16, D:North, S:.
C:570, 33,16, D:North, S:.
C:571, 32,16, D:North, S:.
C:572, 31,16, D:North, S:.
C:573, 30,16, D:North, S:|
C:574, 29,16, D:North, S:.
C:575, 28,16, D:North, S:.
C:576, 27,16, D:North, S:.
C:577, 26,16, D:North, S:.
C:578, 25,16, D:North, S:.
C:579, 24,16, D:North, S:.
C:580, 23,16, D:North, S:.
C:581, 22,16, D:North, S:.
C:582, 21,16, D:North, S:/
C:583, 21,17, D:East, S:.
C:584, 21,18, D:East, S:.
C:585, 21,19, D:East, S:.
C:586, 21,20, D:East, S:.
C:587, 21,21, D:East, S:.
C:588, 21,22, D:East, S:.
C:589, 21,23, D:East, S:.
C:590, 21,24, D:East, S:.
C:591, 21,25, D:East, S:.
C:592, 21,26, D:East, S:.
C:593, 21,27, D:East, S:.
C:594, 21,28, D:East, S:.
C:595, 21,29, D:East, S:.
C:596, 21,30, D:East, S:.
C:597, 21,31, D:East, S:.
C:598, 21,32, D:East, S:|
C:599, 20,32, D:North, S:.
C:600, 19,32, D:North, S:.
C:601, 18,32, D:North, S:.
C:602, 17,32, D:North, S:.
C:603, 16,32, D:North, S:.
C:604, 15,32, D:North, S:.
C:605, 14,32, D:North, S:.
C:606, 13,32, D:North, S:.
C:607, 12,32, D:North, S:.
C:608, 11,32, D:North, S:.
C:609, 10,32, D:North, S:.
C:610, 9,32, D:North, S:.
C:611, 8,32, D:North, S:.
C:612, 7,32, D:North, S:.
C:613, 6,32, D:North, S:.
C:614, 5,32, D:North, S:.
C:615, 4,32, D:North, S:.
C:616, 3,32, D:North, S:.
C:617, 2,32, D:North, S:.
C:618, 1,32, D:North, S:.
C:619, 0,32, D:North, S:.
C:619, -1,32, D:North -> End.
C:620, 22,32, D:South, S:.
C:621, 23,32, D:South, S:.
C:622, 24,32, D:South, S:.
C:623, 25,32, D:South, S:.
C:624, 26,32, D:South, S:.
C:625, 27,32, D:South, S:.
C:626, 28,32, D:South, S:.
C:627, 29,32, D:South, S:.
C:628, 30,32, D:South, S:.
C:629, 31,32, D:South, S:.
C:630, 32,32, D:South, S:.
C:631, 33,32, D:South, S:.
C:632, 34,32, D:South, S:.
C:633, 35,32, D:South, S:.
C:634, 36,32, D:South, S:.
C:635, 37,32, D:South, S:.
C:636, 38,32, D:South, S:.
C:637, 39,32, D:South, S:.
C:638, 40,32, D:South, S:.
C:639, 41,32, D:South, S:.
C:640, 42,32, D:South, S:.
C:641, 43,32, D:South, S:.
C:642, 44,32, D:South, S:-
C:643, 44,31, D:West, S:.
C:644, 44,30, D:West, S:.
C:645, 44,29, D:West, S:.
C:646, 44,28, D:West, S:.
C:647, 44,27, D:West, S:\
C:648, 43,27, D:North, S:.
C:649, 42,27, D:North, S:.
C:650, 41,27, D:North, S:.
C:651, 40,27, D:North, S:.
C:652, 39,27, D:North, S:.
C:653, 38,27, D:North, S:.
C:654, 37,27, D:North, S:.
C:655, 36,27, D:North, S:.
C:656, 35,27, D:North, S:.
C:657, 34,27, D:North, S:.
C:658, 33,27, D:North, S:.
C:659, 32,27, D:North, S:.
C:660, 31,27, D:North, S:\
C:661, 31,26, D:West, S:.
C:662, 31,25, D:West, S:.
C:663, 31,24, D:West, S:.
C:664, 31,23, D:West, S:.
C:665, 31,22, D:West, S:.
C:666, 31,21, D:West, S:.
C:667, 31,20, D:West, S:.
C:668, 31,19, D:West, S:.
C:669, 31,18, D:West, S:.
C:670, 31,17, D:West, S:.
C:671, 31,16, D:West, S:.
C:672, 31,15, D:West, S:|
C:673, 30,15, D:North, S:.
C:674, 29,15, D:North, S:.
C:675, 28,15, D:North, S:.
C:676, 27,15, D:North, S:.
C:677, 26,15, D:North, S:.
C:678, 25,15, D:North, S:.
C:679, 24,15, D:North, S:.
C:680, 23,15, D:North, S:.
C:681, 22,15, D:North, S:.
C:682, 21,15, D:North, S:/
C:683, 21,16, D:East, S:/
C:684, 20,16, D:North, S:.
C:685, 19,16, D:North, S:.
C:686, 18,16, D:North, S:.
C:687, 17,16, D:North, S:/
C:688, 17,17, D:East, S:.
C:689, 17,18, D:East, S:.
C:690, 17,19, D:East, S:.
C:691, 17,20, D:East, S:.
C:692, 17,21, D:East, S:.
C:693, 17,22, D:East, S:.
C:694, 17,23, D:East, S:|
C:695, 16,23, D:North, S:.
C:696, 15,23, D:North, S:\
C:697, 15,22, D:West, S:.
C:698, 15,21, D:West, S:.
C:699, 15,20, D:West, S:.
C:700, 15,19, D:West, S:.
C:701, 15,18, D:West, S:.
C:702, 15,17, D:West, S:.
C:703, 15,16, D:West, S:.
C:704, 15,15, D:West, S:.
C:705, 15,14, D:West, S:.
C:706, 15,13, D:West, S:.
C:707, 15,12, D:West, S:.
C:708, 15,11, D:West, S:.
C:709, 15,10, D:West, S:.
C:710, 15,9, D:West, S:|
C:711, 14,9, D:North, S:.
C:712, 13,9, D:North, S:.
C:713, 12,9, D:North, S:.
C:714, 11,9, D:North, S:.
C:715, 10,9, D:North, S:-
C:716, 10,8, D:West, S:.
C:717, 10,7, D:West, S:.
C:718, 10,6, D:West, S:.
C:719, 10,5, D:West, S:.
C:720, 10,4, D:West, S:/
C:721, 11,4, D:South, S:.
C:722, 12,4, D:South, S:.
C:723, 13,4, D:South, S:.
C:724, 14,4, D:South, S:.
C:725, 15,4, D:South, S:.
C:726, 16,4, D:South, S:.
C:727, 17,4, D:South, S:.
C:728, 18,4, D:South, S:.
C:729, 19,4, D:South, S:.
C:730, 20,4, D:South, S:.
C:731, 21,4, D:South, S:\
C:732, 21,5, D:East, S:.
C:733, 21,6, D:East, S:.
C:734, 21,7, D:East, S:.
C:735, 21,8, D:East, S:.
C:736, 21,9, D:East, S:.
C:737, 21,10, D:East, S:.
C:738, 21,11, D:East, S:.
C:739, 21,12, D:East, S:.
C:740, 21,13, D:East, S:.
C:741, 21,14, D:East, S:.
C:742, 21,15, D:East, S:/
C:743, 20,15, D:North, S:.
C:744, 19,15, D:North, S:.
C:745, 18,15, D:North, S:.
C:746, 17,15, D:North, S:.
C:747, 16,15, D:North, S:.
C:748, 15,15, D:North, S:.
C:749, 14,15, D:North, S:.
C:750, 13,15, D:North, S:.
C:751, 12,15, D:North, S:.
C:752, 11,15, D:North, S:.
C:753, 10,15, D:North, S:.
C:754, 9,15, D:North, S:.
C:755, 8,15, D:North, S:|
C:756, 7,15, D:North, S:.
C:757, 6,15, D:North, S:.
C:758, 5,15, D:North, S:.
C:759, 10,10, D:East, S:.
C:760, 10,11, D:East, S:.
C:761, 10,12, D:East, S:.
C:762, 10,13, D:East, S:.
C:763, 10,14, D:East, S:.
C:764, 10,15, D:East, S:.
C:765, 10,16, D:East, S:.
C:766, 10,17, D:East, S:.
C:767, 10,18, D:East, S:.
C:768, 10,19, D:East, S:.
C:769, 10,20, D:East, S:.
C:770, 10,21, D:East, S:.
C:771, 10,22, D:East, S:.
C:772, 10,23, D:East, S:.
C:773, 10,24, D:East, S:.
C:774, 10,25, D:East, S:.
C:775, 10,26, D:East, S:.
C:776, 10,27, D:East, S:.
C:777, 10,28, D:East, S:.
C:778, 10,29, D:East, S:.
C:779, 10,30, D:East, S:.
C:780, 10,31, D:East, S:.
C:781, 10,32, D:East, S:.
C:782, 16,9, D:South, S:.
C:783, 17,9, D:South, S:.
C:784, 18,9, D:South, S:.
C:785, 19,9, D:South, S:.
C:786, 20,9, D:South, S:\
C:787, 20,10, D:East, S:.
C:788, 20,11, D:East, S:.
C:789, 20,12, D:East, S:.
C:790, 20,13, D:East, S:.
C:791, 20,14, D:East, S:.
C:792, 20,15, D:East, S:.
C:793, 20,16, D:East, S:.
C:794, 20,17, D:East, S:.
C:795, 20,18, D:East, S:.
C:796, 20,19, D:East, S:.
C:797, 20,20, D:East, S:.
C:798, 20,21, D:East, S:.
C:799, 20,22, D:East, S:-
C:800, 20,23, D:East, S:.
C:801, 20,24, D:East, S:|
C:802, 19,24, D:North, S:.
C:803, 18,24, D:North, S:.
C:804, 17,24, D:North, S:.
C:805, 16,24, D:North, S:.
C:806, 15,24, D:North, S:.
C:807, 14,24, D:North, S:.
C:808, 13,24, D:North, S:.
C:809, 12,24, D:North, S:.
C:810, 21,24, D:South, S:.
C:811, 22,24, D:South, S:.
C:812, 23,24, D:South, S:.
C:813, 24,24, D:South, S:.
C:814, 25,24, D:South, S:.
C:815, 26,24, D:South, S:.
C:816, 27,24, D:South, S:.
